"assetId","Bildnutzung","name","file","Copyright","Freigabe Social Media","CC-Lizenz","CC-Urheber","CC-Rechteinhaber","Bildunterschrift","Bildunterschrift (Englisch)","Schlagwörter","Schlagwörter (Englisch)","Region","Ort","Druckbreite_cm","fileType","fileSize","ALT-Beschreibung"
"84423","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00210","Thalhammer_Lederhosen_00210.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose, Logo, Krone","Tracht","Oberbayern","","31,7 cm","jpg","9623849",""
"84425","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00237","Thalhammer_Lederhosen_00237.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose, Löwe, Krone, Edelweiß, Ganesha, Hinduismus, Indien","Tracht","Oberbayern","","31,7 cm","jpg","8767440",""
"84426","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00243","Thalhammer_Lederhosen_00243.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose, Löwe, Krone, Edelweiß, Ganesha, Hinduismus, Indien","Tracht","Oberbayern","","31,7 cm","jpg","10733227",""
"84427","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00255","Thalhammer_Lederhosen_00255.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Laden, Tattoo, Lederhose, Löwe, Krone, Edelweiß, Ganesha, Hinduismus, Indien","Tracht","Oberbayern","","47,55 cm","jpg","10078262",""
"84429","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00330","Thalhammer_Lederhosen_00330.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Vorlage, Skizze","Tracht","Oberbayern","","31,7 cm","jpg","7881638",""
"84430","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00344","Thalhammer_Lederhosen_00344.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Vorlage, Skizze, Pauspapier, Tattoo","Tracht","Oberbayern","","31,7 cm","jpg","8203879",""
"84431","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00339","Thalhammer_Lederhosen_00339.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl, Vorlage, Skizze, Pauspapier, Tattoo","Tracht","Oberbayern","","47,55 cm","jpg","7915746",""
"84432","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","Thalhammer_Lederhosen_00418","Thalhammer_Lederhosen_00418.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Oberbayern, Landkreis München, Sauerlach, Tor zum Bayerischen Oberland, bayerisches Oberland, A8, Kleidungsgeschäft, Laden, Geschäft, Werkstatt, Atelier, Brandner und Kneißl, Bayern-Botschafter, Botschafter, Betreiber, Inhaber, Visionär, Bayerisches Freigeist, Michi Thalhammer, Michael Thalhammer, Lederhose, Hirschlederhose, Hirschlederne, Tätowierer bayerischer Lederhosen, Lederhosen-Tätowierer, Tätowierer, traditionell, individuell, originell, Unikat, Tracht, bayerische Kleidung, lokal, Hirschleder, aus der Region, Bavarian Surfstyle, Räuber Kneißl, Brandner Kaspar, Kunsthandwerk, Handwerk, Kunstwerk, Tätowierkunst, Kunst, Kultur, Kreativität, kreativ, Design, tätowieren, branding, brennen, bayerisches Lebensgefühl","Tracht","Oberbayern","","31,7 cm","jpg","8382160",""
"84938","🟨 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (Partner-Bilder)","Bad Hindelang Tourismus_Wolfgang B. Kleiner_Viehscheid","Bad Hindelang Tourismus_Wolfgang B. Kleiner_Viehscheid.JPG","Bad Hindelang Tourismus / Wolfgang B. Kleiner","NEIN","","","","Viehscheid","","Viehscheid
Kühe
Berge
Almabtrieb ","","Allgäu/Bayerisch-Schwaben","","38,2 cm","jpg","3302912",""
"84939","🟨 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (Partner-Bilder)","Bad Hindelang Tourismus_Wolfgang B. Kleiner_Viehscheid_BadHindelang1","Bad Hindelang Tourismus_Wolfgang B. Kleiner_Viehscheid_BadHindelang1.jpg","Bad Hindelang Tourismus / Wolfgang B. Kleiner","NEIN","","","","Viehscheid Bad Hindelang","","Viehscheid
Kühe
Berge
Almabtrieb","","Allgäu/Bayerisch-Schwaben","","38,07 cm","jpg","2171819",""
"86406","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","001001_7436756","001001_7436756.jpg","erlebe.bayern - Peter von Felbert","JA","","","","","","Franken, Rhön, Leubach, Alexander Hergenhan, Schlittenbauer, Schlittenbau, Holzschlitten, Traditionsschlitten, Schlitten, Brauchtum, Tradition, Familentradition, Handwerkskunst, Schreiner, Handwerk, Handarbeit, traditionelles Handwerk, Werkstatt, Holz, Fotograf Peter von Felbert","","Franken","","39,89 cm","jpg","4366511",""
"86626","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","428_Mittenwald_Gamsbartmacher","428_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","47,55 cm","jpg","5440600",""
"86627","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","446_Mittenwald_Gamsbartmacher","446_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","47,55 cm","jpg","8990314",""
"86628","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","466_Mittenwald_Gamsbartmacher","466_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","31,7 cm","jpg","9116165",""
"86629","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","462_Mittenwald_Gamsbartmacher","462_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","47,55 cm","jpg","9673650",""
"86630","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","471_Mittenwald_Gamsbartmacher","471_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","31,7 cm","jpg","9498597",""
"86631","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","456_Mittenwald_Gamsbartmacher","456_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","47,55 cm","jpg","9801268",""
"86632","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","483_Mittenwald_Gamsbartmacher","483_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","30,53 cm","jpg","8624607",""
"86633","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","474_Mittenwald_Gamsbartmacher","474_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","47,55 cm","jpg","10470587",""
"86634","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","478_Mittenwald_Gamsbartmacher","478_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","45,8 cm","jpg","8451352",""
"86635","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","497_Mittenwald_Gamsbartmacher","497_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","31,7 cm","jpg","10088382",""
"86636","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","493_Mittenwald_Gamsbartmacher","493_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","31,7 cm","jpg","10053764",""
"86637","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","502_Mittenwald_Gamsbartmacher","502_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","47,55 cm","jpg","10447362",""
"86638","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","486_Mittenwald_Gamsbartmacher","486_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Blick auf  Mittenwald
Karwendelbahn","","Oberbayern","","45,8 cm","jpg","8296231",""
"86639","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","509_Mittenwald_Gamsbartmacher","509_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","10452235",""
"86640","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","507_Mittenwald_Gamsbartmacher","507_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7476105",""
"86641","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","513_Mittenwald_Gamsbartmacher","513_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7783102",""
"86642","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","500_Mittenwald_Gamsbartmacher","500_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7714039",""
"86643","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","520_Mittenwald_Gamsbartmacher","520_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","47,55 cm","jpg","11371250",""
"86644","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","517_Mittenwald_Gamsbartmacher","517_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7919243",""
"86645","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","522_Mittenwald_Gamsbartmacher","522_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","47,55 cm","jpg","8390069",""
"86646","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","519_Mittenwald_Gamsbartmacher","519_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","8253866",""
"86647","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","523_Mittenwald_Gamsbartmacher","523_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7291992",""
"86648","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","534_Mittenwald_Gamsbartmacher","534_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7427406",""
"86650","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","525_Mittenwald_Gamsbartmacher","525_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","47,55 cm","jpg","9654436",""
"86651","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","528_Mittenwald_Gamsbartmacher","528_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","8473146",""
"86653","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","546_Mittenwald_Gamsbartmacher","546_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","7630742",""
"86654","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","540_Mittenwald_Gamsbartmacher","540_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","47,55 cm","jpg","7682137",""
"86655","🟦 Nutzung im touristischen und journalistischen Kontext für Gesamt-Bayern (BayTM-Bilder)","554_Mittenwald_Gamsbartmacher","554_Mittenwald_Gamsbartmacher.jpg","erlebe.bayern - Bernhard Huber","JA","","","","","","Stadt Mittenwald","","Oberbayern","","31,7 cm","jpg","8872824",""
